,Kingdom,Phylum,Class,Order,Family,Genus,Species
519d052739d4e7e8e5663eca2f90f8c9,k__Fungi,p__Ascomycota,c__Orbiliomycetes,o__unidentified,f__unidentified,g__unidentified,s__unidentified
4771886bb53013f7ad302bfb4dc36096,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Thelephorales,f__Thelephoraceae,g__Tomentella,NA
af698c402dcc6fbffcb7411a2c35f100,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__unidentified,f__unidentified,g__unidentified,s__unidentified
56eb36002d7be79a363158650c981aa4,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Dothideales,f__Aureobasidiaceae,g__Aureobasidium,NA
f60bf9254dd3eb9c88250afcc12281cb,k__Fungi,p__Basidiomycota,c__Agaricostilbomycetes,o__Agaricostilbales,f__Chionosphaeraceae,NA,NA
a00e2e309cfbc435951214adef0b310d,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Branch06,f__unidentified,g__unidentified,s__unidentified
afe808902bd83f4df3ee098d271caabb,k__Fungi,p__Mucoromycota,c__Endogonomycetes,o__GS22,f__unidentified,g__unidentified,s__unidentified
4222cf85258874e4f4b7f07ec01fe23c,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Hysteriales,f__Hysteriaceae,NA,NA
27a2c25ef0733578bce13690c91035bf,k__Fungi,p__Mucoromycota,c__Endogonomycetes,o__Endogonales,f__Endogonaceae,g__Endogone,NA
dd13de2f3e95246b8996c7223c629c5d,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Sebacinales,NA,NA,NA
871e34b940f9ac53212989392ac12f47,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Aspergillaceae,g__Penicillium,NA
fde08eb9943bd469d0ee4b883be08bf6,k__Fungi,p__Basidiomycota,c__Exobasidiomycetes,o__Exobasidiales,f__Exobasidiaceae,g__Exobasidium,NA
cda2fd39b697b0d43bfceb044de02f1a,k__Fungi,p__Basidiomycota,c__Pucciniomycetes,NA,NA,NA,NA
37cd0a68dbfd4200b0cd57fa4af54207,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Tremellales,NA,NA,NA
54e7f8bc8f20becc7e2e54c18c863c86,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Capnodiales,f__Cladosporiaceae,g__Cladosporium,NA
2bd6d5a490205fe9c25fb173acbb2683,k__Fungi,p__Basidiomycota,c__Exobasidiomycetes,o__Exobasidiales,f__Exobasidiaceae,g__Exobasidium,NA
c59bf47a05293bdac7802ad4655b83da,k__Fungi,p__Basidiomycota,c__Exobasidiomycetes,o__Exobasidiales,f__Exobasidiaceae,g__Exobasidium,NA
630d92572fcace05e76176fa37e744af,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,NA,NA
2d92848fa98e2dc8a1a0a8185e433689,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Hyaloscyphaceae,g__Lachnum,NA
2c906e528405187479da7c75db9cf4b6,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Herpotrichiellaceae,g__Cladophialophora,s__unidentified
9dacb1e37a818ec0abfac9bd227a3615,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Thelephorales,f__Thelephoraceae,NA,NA
4d7e184b563a9700672052d0ad9fbaa6,k__Fungi,p__Entomophthoromycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus,s__Basidiobolus_ranarum
bac88f1e979d444df129802e9b4044f3,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,NA,NA,NA
9cfdc0f57e9ba4c68e5c0855e75a96d3,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Botryosphaeriales,f__Botryosphaeriaceae,g__Diplodia,NA
3df347df0debfb69ea296c2a7f979307,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella,NA
5f5ac90a107bfbf2319d8bcbf88ecb2f,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,NA,NA,NA
e2a2522888f053d1c9f399b0273f3db0,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Hypocreaceae,g__Trichoderma,NA
21ab288dd83af747fe76cbea55469fb1,k__Fungi,p__Basidiomycota,c__Microbotryomycetes,NA,NA,NA,NA
61e6e77fd56c27196776f855e80bda8e,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__unidentified,g__unidentified,s__unidentified
484b42454c6d4a635f8c0b3ef15615b2,k__Fungi,p__Rozellomycota,c__Rozellomycotina_cls_Incertae_sedis,o__GS05,f__unidentified,g__unidentified,s__unidentified
a27b60eef03a37ff6511d78c2938939d,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Tremellales,f__Trimorphomycetaceae,g__Trimorphomyces,s__unidentified
aa0e11a26d6b11ef77002acebc8606cf,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,NA,NA,NA
9a00189642c690725ca93086b575726d,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Capnodiales,f__Mycosphaerellaceae,NA,NA
a18f293963889affd3298bb88d61ab00,k__Fungi,p__Basidiomycota,c__Agaricostilbomycetes,o__Agaricostilbales,NA,NA,NA
a35cf799242862921525d8c4d091b4a7,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,NA,NA,NA
e333f3e26794b168d2f36a5d68f0b861,k__Fungi,p__unidentified,c__unidentified,o__unidentified,f__unidentified,g__unidentified,s__unidentified
0f8e4f65611aff55c8b77d78b4efd598,k__Fungi,p__Ascomycota,c__Orbiliomycetes,o__Orbiliales,f__unidentified,g__unidentified,s__unidentified
c5d25ea985a5727d82208e4d3aba30d9,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__unidentified,f__unidentified,g__unidentified,s__unidentified
d3c53e0db6f218d7405253e8ae75a245,k__Fungi,p__Basidiomycota,c__Microbotryomycetes,o__Microbotryales,NA,NA,NA
c491d5366bd19e48db5a8b15dd5970e7,k__Fungi,p__Ascomycota,c__Orbiliomycetes,NA,NA,NA,NA
3dfd6f4ec6a102cf5020c9d30c179cde,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,NA,NA
d08c98f6ac63fd8a5a23d97c14e81b3c,k__Fungi,p__Mucoromycota,c__Mucoromycetes,o__Mucorales,f__Mucoraceae,g__Mucor,s__Mucor_gigasporus
075b1a05a3a9181f822101be16fb816f,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Dictyosporiaceae,NA,NA
8d0f4f2028c5d0c1ac36375b930a04c7,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Capnodiales,NA,NA,NA
9791f97f25b855b46ba026b56cf4c776,k__Fungi,NA,NA,NA,NA,NA,NA
22cb5527381b72805c183f73a0717ec8,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,NA,NA,NA
c38849efaac4d40fb9a1ba35fa31c76e,k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Pyronemataceae,g__unidentified,s__unidentified
1b4b100d91f3bcb813609428d682a656,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Pleosporaceae,g__Exserohilum,NA
dd6ba547dc5a6dca251f817df5ef201f,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Capnodiales,f__unidentified,g__unidentified,s__unidentified
49e9acb2a0f209748dff9474340e98f3,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Dothideales,f__Aureobasidiaceae,g__Aureobasidium,NA
d47a4bc762dee330646bf1f6632a2096,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,NA,NA,NA
a123f05f68758274f44d80e3fb25a876,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Tremellales,f__Cuniculitremaceae,g__Kockovaella,NA
2fc2ee63e0a99e293dff68768742177c,k__Fungi,p__unidentified,c__unidentified,o__unidentified,f__unidentified,g__unidentified,s__unidentified
6bc340c6aba166436c52136b87804650,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Funneliformis,s__Funneliformis_mosseae
cb43d9e68586480a975f81201cc485c6,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Aspergillaceae,g__Penicillium,NA
09d96dbbd16f5f840b8a301a1d3b5d72,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__unidentified,g__unidentified,s__unidentified
bde7ef77e82f679517ee149f33672a90,k__Fungi,p__Ascomycota,c__Lecanoromycetes,o__Lecanorales,f__Ramalinaceae,NA,NA
1c38889454272502c901af8bbdb855f4,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Dermateaceae,g__Pezicula,NA
70da6c9b73fded781fa9eae4efa29107,k__Fungi,p__Basidiomycota,c__Agaricostilbomycetes,o__Agaricostilbales,f__Agaricostilbaceae,g__Sterigmatomyces,s__Sterigmatomyces_halophilus
48a281b077ab09695a02359ed530958d,k__Fungi,p__Basidiomycota,NA,NA,NA,NA,NA
f551060abcdee32f81333f778c982be4,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella,NA
c1a6953746123c8e970bb8d8a87490e7,k__Fungi,p__Basidiomycota,c__Agaricomycetes,NA,NA,NA,NA
dcb5ed8801f2fa690d8cc6b6e42b80d6,k__Fungi,p__unidentified,c__unidentified,o__unidentified,f__unidentified,g__unidentified,s__unidentified
cfb8612f04e4fa52d9341fdcc21675d2,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__unidentified,f__unidentified,g__unidentified,s__unidentified
00c06c407377019dc8b801eb922e9f3f,k__Fungi,p__Ascomycota,c__Lecanoromycetes,o__Lecanorales,f__Ramalinaceae,NA,NA
3efd6cfa6742f26688b1b6754558211f,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Pleurotaceae,NA,NA
